news_media,Tweet,Tweet_Date,Sentiment_Compound,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,News_Media
,Cabinet minister tells me May will ‘honest with the public’ tomorrow complete with some ‘hard truths’ - more here .... https://t.co/7nMMay38Xl,2018-03-01 22:44:03,0.0,0.0,1.0,0.0,@BBCNews
,May to set out UK 'tests' for Brexit deal https://t.co/FMnPN2YfOw,2018-03-01 22:38:17,0.0,0.0,1.0,0.0,@BBCNews
,Surprised Rhiannon Oldham gives birth to baby Phillip https://t.co/ap0AMlTYKg,2018-03-01 22:32:44,0.2263,0.192,0.808,0.0,@BBCNews
,"Friday's Express: ""Now gas is running out"" (via @hendopolis) #tomorrowspaperstoday https://t.co/ZXDTw8DaTZ",2018-03-01 22:26:23,0.0,0.0,1.0,0.0,@BBCNews
,"Friday's Telegraph: ""Winter in control"" #tomorrowspaperstoday https://t.co/FVMp4YZX4L",2018-03-01 22:12:03,0.0,0.0,1.0,0.0,@BBCNews
,"Friday's FT: ""Sorrell feels the strain as WPP is walloped by ad spending cuts"" (via @hendopolis)  #tomorrowspaperstoday https://t.co/3FaEsjMqch",2018-03-01 22:12:00,-0.34,0.0,0.825,0.175,@BBCNews
,"Friday's i: ""Big freeze is coldest for 27 years"" (via @hendopolis) #tomorrowspaperstoday https://t.co/R02O7a8SZe",2018-03-01 22:11:50,0.0516,0.091,0.909,0.0,@BBCNews
,"Friday's Metro: ""Perfect storm"" (via @hendopolis) #tomorrowspaperstoday https://t.co/Llosm0yS2B",2018-03-01 22:11:39,0.5719,0.346,0.654,0.0,@BBCNews
,Exiled separatist Carles Puigdemont withdrawing from bid to be reappointed president of Spain's Catalonia region https://t.co/45nmrd2fmB,2018-03-01 19:12:35,0.0,0.0,1.0,0.0,@BBCNews
,"There's a red weather warning for snow in south-west England and south Wales. But what does that mean?

More local info on BBC weather: https://t.co/EI3oCk73y1 https://t.co/RmaIXs05Eo",2018-03-01 18:56:54,-0.34,0.0,0.909,0.091,@BBCNews
,Leveson accused minsters of breaking promises to phone hacking victims https://t.co/0IHpazVYHk,2018-03-01 18:16:47,-0.2263,0.172,0.53,0.298,@BBCNews
,"President Trump to sign off on steep tariffs on steel and aluminium imports next week, hitting producers like China https://t.co/b46NjrWz26",2018-03-01 17:42:25,0.3612,0.116,0.884,0.0,@BBCNews
,M1 minibus crash driver has 'vivid memory of bodies' https://t.co/ofa8JnVRd4,2018-03-01 17:11:22,-0.4019,0.0,0.769,0.231,@BBCNews
,"Greg James has been forced to cancel the #Gregathlon.

Central Scotland has been under a severe red weather warning in the past few days.

It means there's a risk to life because of snow and freezing conditions.
 
Big ?? to Greg and the team.

Read more: https://t.co/2Hj2L5yTJB https://t.co/FSuC63z8sU",2018-03-01 16:59:46,-0.8885,0.0,0.748,0.252,@BBCNews
,Have you been helping others during #SNOWMAGGEDON? Get in touch. https://t.co/e0iLOVPwaF,2018-03-01 16:46:26,0.296,0.18,0.82,0.0,@BBCNews
,Grenfell Tower fire survivors to get final say over site https://t.co/ZczBoO8whf,2018-03-01 16:18:32,-0.34,0.0,0.806,0.194,@BBCNews
,Ferrari death crash driver guilty of boy's death https://t.co/QOq9RrEcpE,2018-03-01 15:01:07,-0.9231,0.0,0.273,0.727,@BBCNews
,"Outspoken Florida sheriff on defensive as he takes heat from Republicans, gun rights activists who believe he is focusing on guns and not accepting responsibility for failing to stop gunman before Parkland shooting https://t.co/TsL2pv9BtU https://t.co/xl6K5JnJQp",2018-03-02 22:41:32,-0.8395,0.027,0.728,0.245,@CBSNews
,"As a major nor'easter slams the East Coast, about 3,000 flights have been cancelled and 700,000 are without power across the Northeast https://t.co/k4dFhZdTCK https://t.co/us3wHz8NSx",2018-03-02 22:20:02,-0.25,0.0,0.917,0.083,@CBSNews
